 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.03                           US0SIX,Ivano-Frankivs'k KN28JW (IF) 
 73.73 H        0.750 KN38JQ     Radio Mariya v Ukraini,Kul'chiyivtsi/KHFKRRT, vul. Tsentral'na, 52/1 (KM) 
 73.79          0.200 KO60EC     UR 1 Persha Prog.,Hrebinka/PFKRRT, vul. Gorodyshchens'ka, 142 (PO) (i)
       H        0.050 KN69QC     UR 1 Persha Prog.,Kremenchuk/PFKRRT, vul. Moskovs'ka, 12 (PO) 
 73.88 H        1.500 KN79GN     UR 2 Radio Promin',Poltava/PFKRRT, prosp. Pershotravnevyj, 26a (PO) 
       H        0.200 KO60PI     UR 1 Persha Prog.,Lokhvytsya/PFKRRT, vul. Lenina, 104a (PO) 
       V 5000   0.060 KN78WM     Radio Samara,Pavlohrad/vul. Dniprovs'ka, 416a/1 (DP) 
 87.50 V 1E4D   3.000 KN56IK     Pershe radio FM1,Odesa/OORTPTS, vul. Fontans'ka doroga, 3 (OD) 
       V        1.500 KN78MK     UR 1 Persha Prog.,Dnipro/DFKRRT, prosp. Oleksandra Polya, 93 (DP) 
         6000         KN88ST     Radio M,Kramators'k/DFKRRT, gora Karachun, vul. Livoberezhna, 699a (DO) 
         7BF3         KN74BW     Vesti FM [RUS],Simferopol'/RTPTS ARK, vul. Students'ka, 14 (KR) 
 87.60 V        1.500 KN68NP     UR 1 Persha Prog.,Oleksandriya/prosp. Budivel'nykiv, 40 (KH) 
       V        0.900 KN87SO     Armiya FM,Volnovaha/DFKRRT, vul. Shevtsovoj, 1a (DO) 
 87.70 V 79D0   3.000 KN75ER     Radio Sputnik [RUS],Dzhankoj/RTPTS ARK, vul. Krajnya, 20 (KR) 
       V 7B20   1.500 KN64RO     Radio Jazz [RUS],Sevastopol'/vul. Rudnyova, 41 (SC) 
                0.750 KN29TO     UR 1 Persha Prog.,Lozova (TE) 
       V        0.600 KO70JV     Power FM,Sumy/hotel Sumy, pl. Nezalezhnosti, 1 (SU) 
       V        0.300 KN98EV     Hromads'ke Radio,Lysychans'k/LFKRRT, vul. Lenina, 141a (LU) 
         6336   0.100 KO21HE     UR Radio L'vivs'kaya khvylia,Kovel'/VFKRRT, vul. Varshavs'ka, 5 (VO) 
 87.80          3.000 KN77NU     UR 3 Radio Kul'tura,Zaporizhzhya/ZFKRRT, vul. Matrosova, 24 (ZP) 
