 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
100.60 V 2323   3.000 KO18GG     Raadio Kuku,Kuressaare/Telia mast, Pikk tn. 75A (SAA) 
100.70 V 2323   1.900 KO29KL     Raadio Kuku,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
       V 2017   1.000 KO38NB     Raadio Marta,Põlva, Lao tn. 11 (PLV) 
100.80 V 2323   1.200 KO28TI     Raadio Kuku,Viiratsi/ERSK (VIL) 
100.90 V 22E4   1.000 KO49CJ     Raadio 4,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
       V 2323   1.000 KO18SW     Raadio Kuku,Uuemõisa/Haapsalu RTJ, Masti tn. 4 (LAE) 
101.00 V 2010   3.000 KO28SV     Tre Raadio,Paide, Pärnu tn. 13 /Telia mast (JAE) 
101.20 V 24ED   1.300 KO38JJ     Russkoe Radio,Rõõmu (TAR) 
       V 2322   1.000 KO18HU     Raadio Elmar,Männamaa (HII) 
101.30 V 22EE   1.000 KO39DF     Sky Plus,Assamalla/Telia mast (L-V) 
101.60 V 22E2  30.000 KO29KL     Raadio 2,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
101.70 V 2035   3.000 KO18EJ     Äripäeva Raadio,Sauvere (SAA) 
       V 24F4   1.000 KO37MS     Ring FM,Mõksi/Hannuste/Mõksi sidemast (VOE) 
101.90 V 2301   0.100 KO38DP     Star FM,Saduküla/Telia mast (JOG) 
102.00 V 2323   0.400 KO18NN     Raadio Kuku,Orissaare/Orissaare RTJ, Kuivastu mnt. 1 (SAA) 
102.10 V 2402   1.500 KO29KL     Power Hit Radio,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
       V 24EF   0.600 KO39PJ     Sky Radio,Kohtla-Järve/Järve/Telia mast, Olevi tn. 1 (IDA) 
102.30 H 22E2  10.000 KO28HJ     Raadio 2,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
       V 22E2   0.710 KO49CJ     Raadio 2,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
102.40 V 2323   0.400 KO38FC     Raadio Kuku,Pikareinu/Valgjärve raadio- ja telemast (PLV) 
102.60 V 22E2   6.000 KO38AX     Raadio 2,Kapu/Koeru raadio- ja telemast (JAE) 
102.80 V 2301   1.000 KO37BS     Star FM,Rampe/Tsirguliina Tele2 mast (VAL) 
102.90 H 22E2   9.800 KO39NI     Raadio 2,Kohtla-Nõmme/Kohtla-Nõmme raadio- ja telemast, Karikakra tn. 28 (IDA) 
       V 22E2   2.000 KO18SW     Raadio 2,Uuemõisa/Haapsalu RTJ, Masti tn. 4 (LAE) 
103.00 V 2466   1.000 KO38II     Relax FM,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
103.10 V 22E2   1.000 KO18EJ     Raadio 2,Sauvere (SAA) 
       V 2485   0.300 KO29KL     Raadio 7,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
103.20 V 2301   3.000 KO37LO     Star FM,Parksepa/Telia mast (VOE) 
       V 2323   0.300 KO29JA     Raadio Kuku,Tamme/Telia mast (RAP) 
103.30 V 22EE   0.300 KO39MH     Sky Plus,Maidla/Telia mast (IDA) 
       V 22E2   0.280 KO28TI     Raadio 2,Viiratsi/Elisa mast (VIL) 
103.40 H 22E2  10.600 KO18NN     Raadio 2,Orissaare/Orissaare RTJ, Kuivastu mnt. 1 (SAA) 
103.50 V 20E5   0.700 KO29JK     Raadio Tallinn,Tallinn/Kesklinn/Maakri, Tornimäe tn. 3 (HAR) 
103.60 H 22E2  38.000 KO38FC     Raadio 2,Pikareinu/Valgjärve raadio- ja telemast (PLV) 
       V 24ED   0.800 KO49CJ     Russkoe Radio,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
103.70 V 22E3   0.025 KO18BB     Klassikaraadio,Lõupõllu/Sõrve RJ (SAA) 
103.90 V 2402   0.150 KO28HJ     Power Hit Radio,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
104.10 V 22E1  30.000 KO29KL     Vikerraadio,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
104.20 V 2444   0.500 KO38II     Kuku Ralliraadio,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) (t)
       V 205E   0.500 KO38JJ     Rock FM,Rõõmu (TAR) 
104.50 V 22E3   1.000 KO39EL     Klassikaraadio,Pehka/Möldre (L-V) 
       V 2321   1.000 KO18NN     MyHits,Orissaare/Orissaare RTJ, Kuivastu mnt. 1 (SAA) 
104.70 V 24F4   1.000 KO38II     Ring FM,Tartu/Tartu RTJ, Soinaste tn. 8A (TAR) 
       V 22E1   0.700 KO49CJ     Vikerraadio,Narva/Narva Telemast, Hariduse tn. 18 (IDA) 
104.80 H 22E1  10.000 KO28HJ     Vikerraadio,Pärnu/Tammiste/Pärnu RTJ, Tammiste tee 12 (PAE) 
104.90 V 2049   1.500 KO29KL     Jumor FM,Tallinn/Pirita/Tallinna Teletorn, Kloostrimetsa tee 58A (HAR) 
105.10 V 22E1   6.000 KO38AX     Vikerraadio,Kapu/Koeru raadio- ja telemast (JAE) 
105.30 V 22E1   2.000 KO18SW     Vikerraadio,Uuemõisa/Haapsalu RTJ, Masti tn. 4 (LAE) 
105.40 H 22E1  10.000 KO39NI     Vikerraadio,Kohtla-Nõmme/Kohtla-Nõmme raadio- ja telemast, Karikakra tn. 28 (IDA) 
       V 2402   0.150 KO28TI     Power Hit Radio,Viiratsi/ERSK (VIL) 
105.60 V 22E1   2.000 KO18EJ     Vikerraadio,Sauvere (SAA) 
