         7201         JM44IG     RTT Radio Jeunes,Mdhilla (GAF) 
101.10 H 7212  80.000 JM56BI     RTT Radio Culture,Zaghouan/Djebel Zaghouan (ZAG) 
         7206         JM44EH     RTT Radio Gafsa,Metlaoui (GAF) 
101.20 V 7212   1.000 JM52FW     RTT Radio Culture,Tataounie/Brourmet (TAT) 
101.30 V 7212   0.900 JM45NV     RTT Radio Culture,Maktar/Souk Jomaa (KAS) 
101.40 H        5.600 JM53MM     ,Zarzis (MED) (p)
       H 7209   1.000 JM33WV     Mosaïque FM,Nefta (TOZ) 
101.50 H 7237   0.100 JM55IM     Ribat FM,Zeramdine (MON) 
101.60 H        4.200 JM52FC     ,Remada (TAT) (p)
101.70 H 7213   8.300 JM56EQ     Shems FM,Ben Arous/Djebel Bou-Kornine (TUN) 
101.80 H 7202  40.000 JM44OK     RTT R.Tunis Chaine Int.,Gafsa/Djebel Biadha (GAF) 
102.00 H 7207   5.000 JM55MM     RTT Radio Nationale,Mahdia (MAH) 
         7201         JM56JL     RTT Radio Jeunes,Nabeul/Beni Khiar (NAB) 
102.10 V 7202   0.830 JM53KT     RTT R.Tunis Chaine Int.,Djerba/Ouallarh (MED) 
102.20 H 7208   3.800 JM46NL     RTT Radio Kef,Beja/Gorraa (BEJ) 
102.30   7259   5.000 JM56CT     Radio ML - Media Libre FM,Tunis (TUN) 
       H 7211   1.000 JM43BW     Radio Zitouna FM,Tozeur (TOZ) 
         7209         JM45TN     Mosaïque FM,Kairouan/Djebel Trozza (KAI) 
102.50 H 7210   1.000 JM56BJ     Jawhara FM,Zaghouan (ZAG) 
                      JM54JS     Platine Radio,Sfax 
       V              JM55FT     ,Kalaa Kebira (SOU) (p)
102.60 H 7207   2.800 JM47XC     RTT Radio Nationale,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
       V 7205   0.126 JM53EB     RTT Radio Tataouine,Ghomrassen (TAT) 
102.70 H 7212  49.000 JM45IE     RTT Radio Culture,Kasserine/Djebel ech Chambi (KAS) 
102.80 V 7229   1.000 JM53AT     Radio iFM,Gabès/El M Dou (GAB) 
102.90 H 7211   1.000 JM56JL     Radio Zitouna FM,Nabeul/Beni Khiar (NAB) 
103.00 H 7212  60.000 JM54IW     RTT Radio Culture,Sfax/El-Ghraba (SFA) 
       V 7206   1.000 JM43AH     RTT Radio Gafsa,Rjim Maatoug 
       V        1.000 JM52FW     ,Tataounie/Brourmet (TAT) (p)
       V 7207   0.600 JM34XJ     RTT Radio Nationale,Tamaghza (TOZ) 
103.10 H 7208   1.000 JM46PJ     RTT Radio Kef,Siliana (SIL) 
                      JM46MV     RTT Radio Kef,Ouechtata (BEJ) 
103.20 H 7210   8.000 JM56BJ     Jawhara FM,Zaghouan (ZAG) 
         7212         JM44EH     RTT Radio Culture,Metlaoui (GAF) 
103.30 V 7205   6.000 JM44WB     RTT Radio Tataouine,Khanguet Aicha (GAB) 
103.40 H 7211  80.000 JM52FC     Radio Zitouna FM,Remada (TAT) 
       H 7212   5.600 JM46IS     RTT Radio Culture,Aïn Draham/Djebel Al-Bi'r (JEN) 
103.60 H       27.000 JM44OK     ,Gafsa/Djebel Biadha (GAF) (p)
       V 7214   5.000 JM56EQ     Express FM,Ben Arous/Djebel Bou-Kornine (TUN) 
103.70 V        4.500 JM55IM     ,Zeramdine (MON) (p)
         7212   1.500 JM55LK     RTT Radio Culture,Ksour-Essaf (MAH) 
103.90                JM45IE     K FM - Kasserine FM,Kasserine/Djebel ech Chambi (KAS) 
         7229         JM46NL     Radio iFM,Beja/Gorraa (BEJ) 
104.00 H 7214  44.700 JM54IW     Express FM,Sfax/El-Ghraba (SFA) 
104.10 H 7224   1.100 JM56JT     Radio Med,Kef-Errand (NAB) 
104.30 H 7215  60.000 JM53MM     Ulysse FM,Zarzis (MED) 
       H 7239   2.818 JM47XC     Mahdia FM - MFM,Bizerte/Djebel Kochabta [Kchabta] (BIZ) 
104.40 H 7210  50.000 JM45IE     Jawhara FM,Kasserine/Djebel ech Chambi (KAS) 
104.50 V 7207   1.000 JM43AH     RTT Radio Nationale,Rjim Maatoug 
         7214         JM55JS     Express FM,Monastir (MON) 
                      JM44IG     RTT Radio Culture,Mdhilla (GAF) (p)
104.60   7207         JM45SA     RTT Radio Nationale,Sidi Bouzid (SID) 
104.70 H 7203  80.000 JM56BI     RTT Radio Monastir,Zaghouan/Djebel Zaghouan (ZAG) 
104.80 H 7209   1.000 JM52FW     Mosaïque FM,Tataounie/Brourmet (TAT) 
       V        1.000 JM53AT     ,Gabès/El M Dou (GAB) (p)
104.90 H 7207   5.000 JM46IE     RTT Radio Nationale,El Kef (ELK) 
       H 7207   1.000 JM46PJ     RTT Radio Nationale,Siliana (SIL) 
105.00 H 7212   1.400 JM33WV     RTT Radio Culture,Nefta (TOZ) 
105.10 H        0.100 JM55IM     ,Zeramdine (MON) (p)
         7223         JM56HJ     KnOOz FM,Hammamet 
         7223         JM55HT     KnOOz FM,Sousse (SOU) 
         7223         JM56BJ     KnOOz FM,Zaghouan (ZAG) 
105.20 H        4.200 JM52FC     ,Remada (TAT) (p)
       V 7204   3.000 JM54IW     RTT Radio Sfax,Sfax/El-Ghraba (SFA) 
