 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 50.04                           LZ0SIX,Sofia KN12QP 
 94.30 V 8383   2.000 KN21JN     Radio Veselina,Smoljan/TVRTS Petrovitsa [NURTS Smoljan] (SMO) 
         8220   0.150 KN12QW     BNR Hristo Botev,Svoge/RRS Svoge-1 (SOF) 
 94.40 V 8397   1.000 KN32TS     Avtoradio,Nesebar/Slancev brig-RRTS Edelvajs (BUR) 
       V 8382   0.300 KN23XT     Radio FM+,Ruse/RRTS Levent tabija (RUS) 
         8237   0.280 KN13TF     BNR Radio Vidin,Vratsa/Kostalevo-RRTS Vratsa (VRT) 
 94.50 V 8232   8.000 KN12PP     BNR Radio Sofia,Sofia/Kopitoto-KRTTS Vitosa (SFG) 
       V 8380   0.300 KN22QV     BG Radio,Gabrovo/RRTS Gradiste [NURTS Gabrovo] (GBV) 
         8210   0.250 KN33KG     BNR Horizont,Shumen/RRS 1 [NURTS Shumen] (SHM) 
 94.60   8382   1.500 KN33WD     Radio FM+,Varna/RPTS UKV Praktika (VRN) 
       V 8380   1.032 KN22ID     BG Radio,Plovdiv/Dzhendem tepe (PLD) 
       V 8381   0.630 KN11UO     Radio 1,Gotse Delcev/Vodoprecistvatelna stantsia [Deva broadcast] (BLG) 
 94.70   8210   1.949 KN13WC     BNR Horizont,Roman/RRS Strupets (VRT) 
       V 8381   0.500 KN32EP     Radio 1,Sliven/RPTS Deva Brodkast (SLI) 
       V 8067   0.250 KN23QO     Radio Rezonans,Svistov/Kuigovets-RPTS Rezonans (VLT) 
         837F   0.172 KN12MJ     Radio Focus,Dupnitsa/m. Bangelova cesma (KYD) 
 94.80 V 8383   1.000 KN32RM     Radio Veselina,Burgas/RRTS (BUR) 
       V        0.200 KN21JN     ,Smoljan/TVRTS Petrovitsa [NURTS Smoljan] (SMO) (c)
 94.90 V 8220  19.952 KN31AR     BNR Hristo Botev,Svilengrad/RRTS Sheynovets (HSK) 
       V 8382   0.744 KN12PP     Radio FM+,Sofia/Hotel Kopitoto (SOF) 
       V 8380   0.500 KN23UC     BG Radio,Veliko Tarnovo/NURTS Arbanasi (VLT) 
 95.00 V 837F   3.000 KN43EJ     Radio Focus,Kavarna/RPS Kaliakra (DOB) 
       V 8220   1.000 KN23AA     BNR Hristo Botev,Yablanitsa/RRTS Yablanitsa (LOV) 
       V 838C   0.638 KN12NA     Radio City,Blagoevgrad/NURTS Blagoevgrad (BLG) 
       V 8397   0.500 KN22FC     Avtoradio,Krichim/Novo selo (PLD) 
       V 8210   0.250 KN32LP     BNR Horizont,Karnobat/RRTS Markhova stapka (BUR) 
         837F   0.100 KN33JS     Radio Focus,Isperikh/RRS Isperikh (RGD) 
       V        0.100            ,Pechtera (PZK) (p)
 95.20 V 837E   0.300 KN13OJ     Radio N-Joy,Montana/RTTS Mont 7 (MNT) 
       V 8381   0.080 KN12VK     Radio 1,Ihtiman/kv. Stipon (SOF) 
       V 8384   0.070 KN23UK     Radio Fresh!,Byala/Zarnokhraniliste (RUS) 
 95.30 H 8220  81.000 KN32TS     BNR Hristo Botev,Nesebar/Slancev brig-RRTS Edelvajs (BUR) 
       V 838F   0.100 KN21SW     Bulgaria On Air,Haskovo/ulitse Plovdivska 39 (HSK) 
 95.40   8220   1.000 KN22QV     BNR Hristo Botev,Gabrovo/RRTS Gradiste [NURTS Gabrovo] (GBV) 
         8220   0.500 KN33GE     BNR Hristo Botev,Targoviste/h. Mladost-RTS Kodzakuz (TGV) 
                0.100 KN12WV     ,Pravets/RRTS Pravets [Botevgrad / NURTS Pravec] (SOF) (c)
 95.50 V 8381   1.150 KN22IB     Radio 1,Plovdiv/Belashtitsa (PLD) 
       V 8074   1.047 KN11NW     Radio Vega+,Blagoevgrad/kray selo Tserovo-RTTS Vega (BLG) 
       V 838B   0.679 KN13US     Radio Energy,Kozloduj/NURTS Kozloduy (VRT) 
       V 8064   0.450 KN32HL     Radio 999,Yambol/RPC Bakadzik 2 (YAM) 
 95.60 V 837F   0.253 KN21LM     Radio Focus,Madan / NURTS Madan (SMO) 
 95.70 V 8220   3.019 KN23XT     BNR Hristo Botev,Ruse/RRTS Levent tabija (RUS) 
       V 8380   3.000 KN32QL     BG Radio,Burgas/kv. Meden Rudnik-Mestnost Shiloto [Deva broadcast] (BUR) 
