 97.80 H 521B  10.000 JN99AA     SRo 3 Radio Devin,Trencin/Nad Oborou (TN) 
       H        1.000 KN09TF     Radio Lumen,Stropkov/Bana - vrch Bana (PO) 
       H        0.200 KN09WG     Radio Lumen,Medzilaborce/Panska Kýcera (PO) 
       V        0.200 KN09WG     ,Medzilaborce/Panska Kýcera (PO) (i)
 98.00 H 5202  10.000 JN98UG     SRo 4 Radio_FM,Lucenec/Blatný vrch (BB) 
       H 5561  10.000 JN98UG     SRo 5 Radio Patria,Lucenec/Blatný vrch (BB) 
       V 5343   0.500 JN98EI     Radio Lumen,Zlate Moravce/Palarikova ulica (NR) 
       V        0.500 JN99PB     ,Ruzomberok/Malinô Brdo II (ZA) (c)
       V 5355   0.250 JN99IF     Radio Best FM,Zilina/Hajik (ZA) 
 98.10 H 5343   1.000 JN98JS     Radio Lumen,Prievidza/Bralova skala (TN) 
       V 5354   0.500 KN08HW     Radio Jemne,Spisska Nova Ves/Modrý vrch (KE) 
       V 5345   0.200 JN99JK     Radio Antena Rock,Cadca/Jurosovský vrch (ZA) 
       H 5343   0.125 JN88SI     Radio Lumen,Trnava/Coburgova 84 (komin TAZ) (TT) 
       V        0.100 JN98NO     ,Zvolen/ul. Buzulucka 2472/3 (BB) (c)
 98.20 V 521D   1.000 KN09PG     Radio Expres,Bardejov/Mihalov - hotel Bellevue (PO) 
 98.30 H 5202  10.000 JN98PF     SRo 4 Radio_FM,Modrý Kamen/Spani Laz (BB) 
       H 5208  10.000 JN98PF     SRo 5 Radio Patria,Modrý Kamen/Spani Laz (BB) 
       V        0.050 JN88TA     ,Dunajska Streda/Nam. Á. Vamberyho 53/10 (TT) (c)
 98.40 V 5202   0.500 JN98KO     SRo 4 Radio_FM,Ziar nad Hronom/Sibenicný vrch I. (BB) 
 98.50 H 534F   8.800 JN88UU     Europa 2,Nove Mesto nad Vahom/Velka Javorina (TN) 
       V 5354   0.500 KN08DJ     Radio Jemne,Tornala/Skultetyho 5 (BB) 
       V        0.500 JN99SI     ,Tvrdosin/Úplzen-vodojem (ZA) (c)
       V        0.200 JN98TT     ,Brezno/Sajba – vodojem BR nad nemocnicou (BB) (c)
       V 5071   0.030 JN88NC     Radio SiTy,Bratislava-Petrzalka/danový urad (BA) 
 98.60 H 5354 100.000 KN08RV     Radio Jemne,Kosice/Dubnik (KE) 
 98.70 H 521B   1.000 JN97CX     SRo 3 Radio Devin,Nove Zamky/Komin Elektrosvitu (NR) 
       H 5561   1.000 JN97CX     SRo 5 Radio Patria,Nove Zamky/Komin Elektrosvitu (NR) 
       C        1.000 JN97CX     ,Nove Zamky/teplaren-Dvorska (NR) (c)
       V 5345   0.500 JN99JF     Radio Antena Rock,Zilina/Sportova ul. 2 (Hotel Holiday Inn) (ZA) 
       V 5345   0.500 JN99LB     Radio Antena Rock,Martin/nam. Jozefa Cigera Hronskeho 1 (SNK) (ZA) 
       V        0.200 JN98NQ     ,Banska Bystrica/Horne Prsany (Satro) (BB) (c)
 98.80 H 5345   5.000 JN99RC     Radio Antena Rock,Ruzomberok/Úlozisko (ZA) 
 98.90 H 5202  10.000 KN09HG     SRo 4 Radio_FM,Stara Lubovna/Kotnik (PO) 
       V 5355   0.500 JN98AV     Radio Best FM,Trencin/ul. Palackeho (Drietoma, Hradiste, TVP) (TN) 
       V 5208   0.200 JN88ND     Radio Slovakia International,Bratislava/Mýtna 1 (BA) 
       V 5208   0.200 JN88ND     SRo 5 Radio Patria,Bratislava/Mýtna 1 (BA) 
 99.00 H 5201  20.000 JN98KJ     SRo 1 Radio Slovensko,Banska Stiavnica/Sitno (BB) 
       H 5218   1.000 KN08VS     Radio Vlna,Michalovce/Kóta Hôrka (KE) 
 99.10 H 5343   0.700 KN09PH     Radio Lumen,Bardejov-Vinbarg/Pastoracne centrum (PO) 
 99.20 H 5340  18.000 JN99JC     Fun Radio,Zilina/Krizava (ZA) 
 99.30 H 5560  10.000 JN88NE     SRo 2 Radio Regina,Bratislava/Kamzik (BA) 
 99.40 H 521D  10.000 JN97HU     Radio Expres,Sturovo/Vrch Bela (NR) 
       V 5354   0.500 KN08GP     Radio Jemne,Roznava/ul. Kozmonautov 1 (KE) 
       V        0.200 JN98NS     ,Banska Bystrica/Kostiviarska-vodaren (BB) (c)
 99.50 V 521D   1.000 JN99WA     Radio Expres,Východna/Horna nadrz elektrarne Cierny vah (ZA) 
       V 521D   0.250 KN09OA     Radio Expres,Presov/Sibena hora II. (PO) 
       V 521D   0.100 JN98PW     Radio Expres,Liptovska Osada/Vodaren (ZA) 
 99.60 V 5218   1.000 JN99JK     Radio Vlna,Cadca/Jurosovský vrch (ZA) 
       V 5354   0.300 JN98TT     Radio Jemne,Brezno/Dubravka-vodaren (BB) 
       V 5354   0.250 JN98TI     Radio Jemne,Lucenec/Rubanisko II/62 (BB) 
       V 508C   0.250 JN99KB     Radio Rebeca,Martin/Bystricka (ZA) 
