105.90 V      150.000 KM74XK     Sawt al-Mahaba=Voix de la Charite,Tripoli/Jabal Tourbol (ASL) 
       V A02F  50.000 KM73SU     Sawt al-Mahaba=Voix de la Charite,Beirut/Achrafieh (BEI) 
106.00 V      200.000 KM73WX     Sawt al-Mahaba=Voix de la Charite,Faraya Mzaar (JLB) 
106.10 V A1CC  10.000 KM74TA     Sawt al-Mahaba=Voix de la Charite,Fatqa (JLB) 
106.20   A02F         KM73SL     Sawt al-Mahaba=Voix de la Charite,Jabal Safi (JAN) 
106.30 V A02F  10.000 KM74WF     Sawt al-Mahaba=Voix de la Charite,Hardine=Hardeen (ASL) 
106.50 V noPI  25.000 KM73SU     Sawt al-Balad,Beirut/Achrafieh (BEI) 
106.70                KM73TX     Sawt al-Mahaba=Voix de la Charite,Jounieh=Junia (JLB) 
         FFFF         KM73SV     Voice of Youth=Yeridasartoutian Tsayne,Beirut/Bourj Hammoud (BEI) 
106.90 V       25.000 KM73TU     Sawt al-Balad,Beit Mery (JLB) 
107.10   F171         KM74WK     Hidaya FM - Al Kalim Al Tayyib,Tripoli (ASL) 
107.20 V 607D  30.000 KM73TX     MBS-Master Broadcasting Station,Harissa (JLB) 
         A258         KM73WX     MBS-Master Broadcasting Station,Faraya Mzaar (JLB) 
                      KM84DN     MBS-Master Broadcasting Station,Andaket=Aandqet (ASL) 
                      KM73XN     MBS-Master Broadcasting Station,Deïr al-Aachayer (BEQ) 
107.40 V              KM73TX     Green Lebanon (Lubnan al-Akhdar),Jounieh=Junia (JLB) 
107.50 V        5.000 KM73SU     MBS-Master Broadcasting Station,Beirut/Achrafieh (BEI) 
       V 607D   2.000 KM74VI     MBS-Master Broadcasting Station,Fih=Fiaa (ASL) 
       V        1.000 KM73XS     MBS-Master Broadcasting Station,Jabal Terbol (Beqaa) (BEQ) 
                      KM73SI     Radio al-Fajr FM,Nabatieh=Nabatiya (NAB) 
107.70 V A2B1  10.000 KM73VH     Radio al-Fajr FM,Jabal ash Shaykh (JAN) 
                      KM73OG     Radio al-Fajr FM,Tyre=Tyros (JAN) (u)
         A3FF         KM73SU     Sawt al-Noujoum,Beirut (BEI) 
107.90   4201         KM73SU     Jabal Lebnan,Beirut/Achrafieh (BEI) 
