       V        8.800 KM17VX     Art FM 90.6,Athina/Ymittos (ATT) 
       V 13D7   1.000 KM25VB     Planet 90.6,Lasithi/Stavros Kapistri (KRT-LAS) 
         1060   0.150 KN10FN     Asteras FM,Veroia/Meliki (CMC-IMA) 
 90.70 V 1202   8.000 KN20VV     ERA 2 Deutero Programma,Alexandroupolis/Plaka [ERT] (EMC-EVR) 
       V 190D   5.000 KM19MJ     Sfaira Volou,Volos/Mt. Pilion/Pyrgaki (THE-MAG) 
       V 1081   2.000 KM25FH     Capital FM 90.7,Rethymno/Spathi (KRT-RET) 
       V C100   1.000 KM17IO     Cool FM 90.7,Argos/Kefalari (PEL-ARG) 
       V 1907   1.000 KM25KA     Dream FM 90.7,Mires/Vigla-Pombia (KRT-IRA) 
       V        1.000 KM25MI     Dream FM 90.7,Iraklion/Rogdia (KRT-IRA) 
       V A003   1.000 KM08QL     Kosmos FM 90,7,Agrinio/Arakynthos (WGR-AIT) 
       V A01F   1.000 KM17FD     Politeia FM 90.7,Sparti/Ag. Georgios Voutiani (PEL-LAC) 
       V        1.000 KM38BJ     Proto Programma Hiou,Hios/Aipos (NEG-KHI) 
       V 100C   0.500 KM09KQ     Best 907,Ioannina/Ligkiades (EPI-IOA) 
       V A01F   0.500 KM16EQ     Politeia FM 90.7,Sparti/Areopoli (PEL-LAC) 
         A01F         KM16LT     Politeia FM 90.7,Sparti/Sikea-Koulohera (PEL-LAC) 
         0235         KM46CK     Rodos FM,Rodos/CAIR (SEG-DOD) 
 90.80 V 10C7  50.000 KN10NO     ZOO 90.8,Thessaloniki/Hortiatis (CMC-TSK) 
       V 5400   2.500 KM08HD     Ionian Galaxy 90.8,Kefalonia/Ainos (ION-KEF) 
       V        2.500 KN20EW     Radio Neapolis,Kavala/Vasilaki (EMC-KAV) 
       V 0E04   1.000 KN10RJ     Dimotiko Radiofono Poligirou,Halkidiki/Polygyros-Tsoukalas (CMC-KHK) 
       V        0.500 KN31HI     Radio Apostolos Andreas,Didymoteicho/Pythio (EMC-EVR) 
 90.90 H 1203 100.000 KM17VW     ERA 3 Trito Programma,Ymittos/ERT (ATT) 
         8090  12.000 KM18EV     Oscar FM,Lamia/Profitis Ilias (CGR-FTH) 
         5405   2.000 KM06WW     Time FM,Kalamata/Likodimo/Petalidi (PEL-MES) 
       V        0.250 KM17GJ     Orthodoxi Martyria,Tripolis/Doliana (PEL-ARK) 
       V 9000   0.200 KM18BJ     Skylos 90 FM,Kallithea Fokidas (CGR-FOK) 
 91.00 H 1201   3.000 KM16KR     ERA 1 Proto Programma,Sparti/Finiki (PEL-LAC) 
       V 9191   2.500 KN10AC     Gold FM,Kozani/Metaxas (WMC-KOZ) 
       V 10AC   2.000 KM25BL     Venus 91 FM,Hania/Malaxa (KRT-KHA) 
       V FF91   1.000 KM19CN     NRG 91,Larissa/Dovroutsi (THE-LAR) 
       V 139A   1.000 KM37GH     Patmos Radio 91.0,Patmos/Profitis Ilias (SEG-DOD) 
       V 5158   1.000 KM25MI     Radio Anamnisi,Iraklion/Rogdia (KRT-IRA) 
                      KM25OA     Radio Anamnisi,Charakas-Akhendrias (KRT-IRA) 
 91.10 V 10DE   8.000 KM07QS     Ilida FM 91.1,Pirgos-Amaliada/Fragopidima (WGR-ILI) 
         105B   5.000 KM18SL     Diavlos 91.1,Evvoia/Chalkida/Ktypas (CGR-EVV) 
       V FDFE   4.000 JM99WS     O Agios Spiridon 91,1 FM,Kerkyra/Mt. Pantokratoras (ION-KER) 
       V        1.300 KN10NO     V FM 91.1,Thessaloniki/Hortiatis (CMC-TSK) 
       V B0DC   1.000 KM17IO     Laiko Paradosiako Radiofono,Argos/Kefalari (PEL-ARG) 
       V 10A7   0.500 KM09KQ     Kiss FM,Ioannina/Ligkiades (EPI-IOA) 
 91.20 V 1097  40.000 KM17VX     Piraiki Ekklesia,Athina/Ymittos (ATT) 
       V 80F4  15.000 KM18EV     Lamia Radio Deejay,Lamia/Profitis Ilias (CGR-FTH) 
       V 1051   4.500 KM08VG     Yes! 91,2,Patra/Aroi (WGR-AKH) 
       V        2.500 KM18LA     Orthodoxi Eklisiastiki Radiofonia,Korinthos/Ossios Patapios (PEL-KOR) 
         1202   2.000 KN20EW     ERA 2 Deutero Programma,Kavala/Vasilaki [ERT] (EMC-KAV) 
         1234   0.630 KM18BG     Diakonia Kai Martyria,Aigion (WGR-AKH) 
         1010   0.500 KN21QD     ERA Diktyo Komotinis,Komotini/ERT Komotinis (EMC-ROD) 
                0.250 KN00TS     Radio Amyntaio,Florina/Kleidi (WMC-FLO) 
         1317         KM17OL     ERA Diktyo Peloponnisou - Tripolis,Didyma (PEL-ARG) 
       V 1097         KM17SS     Piraiki Ekklesia,Athina/Aegina (ATT-PIR) 
                      KM19LI     Radio Katergaris,Volos (THE-MAG) 
 91.30 H 1202 100.000 KM08LT     ERA 2 Deutero Programma,Akarnanika/Perganti [ERT] (WGR-AIT) 
       H        6.000 KM25MI     ERA 3 Trito Programma,Iraklion/Rogdia (KRT-IRA) 
       V 10D6   4.000 KM25FH     Sky Radio (Rethymno),Rethymno/Spathi (KRT-RET) 
         10F1   1.700 KM18KL     X-Radio,Livadia/Pera Horio (CGR-VOI) 
         9130         KM26IX     Radioactive 91.3,Sifnos/Artemonas (SEG-KIK) 
 91.40 M 9140   7.000 KM19CN     Palace 91.4,Larissa/Dovroutsi (THE-LAR) 
       V        4.000 KN10NO     91.4 Sto Kokkino,Thessaloniki/Hortiatis (CMC-TSK) 
       V        1.300 KM17VX     Lyra FM,Athina/Ymittos (ATT) 
       V 9170   1.000 KM46CK     Radio Lihnari,Rodos/CAIR (SEG-DOD) 
 91.50 V 100A   2.000 KM25BL     Diktyo FM 91.5,Hania/Malaxa (KRT-KHA) 
       V A000   1.900 KN00PM     Kastoria FM,Kastoria/Maniakoi (WMC-KAS) 
       V        1.800 KM08VG     Radio 91,5,Patra/Aroi (WGR-AKH) 
       V 1091   1.000 KM17GJ     Dimotiki Radiofonia Tripolis,Tripolis/Doliana (PEL-ARK) 
       V 1396   1.000 KM36PU     Radio Proto,Kos/Sympetro (SEG-DOD) 
                0.180 KN20VV     blank carrier,Alexandroupolis/Plaka (EMC-EVR) 
                      KM17AN     Dimotiki Radiofonia Tripolis,Tripolis/Zatouna (PEL-ARK) 
 91.60 H 1201 100.000 KM18UD     ERA 1 Proto Programma,Parnitha ERA (ATT) 
       V E103   2.500 KM09ID     Prisma FM,Preveza/Zaloggo (EPI-PRE) 
       V 10DD   1.500 KN00PG     Diva Radio,Kozani/Kastania (WMC-KOZ) 
       V        1.000 KM07RS     Life FM 91,6,Pirgos/Korifi (WGR-ILI) 
         10E6   1.000 KM09KG     Prisma FM,Agios Georgios (EPI-PRE) 
       V 9160   1.000 KM09HF     Prisma FM,Kanallaki/Valanidoussa (EPI-PRE) 
         A916   0.500 KM39GC     Rythmos 91,6,Lesvos-Mitilini/Prof. Ilias (NEG-LES) 
         9160   0.400 KM09EG     Prisma FM,Parga (EPI-PRE) 
 91.70 H 1401   6.000 KM37JR     ERA Diktyo Boreiou Aigaiou,Samos/Platanos (NEG-SAM) 
