 99.60 M 2203 158.500 IO51KX     RTÉ Lyric FM,Mullaghanish (CO) 
 99.80 V 2204   3.000 IO62BU     RTÉ Raidió na Gaeltachta,Kilduff Mountain (TA) (p)
 99.90 V 2424   1.000 IO63SG     East Coast FM,Saggart Hill (Red Gap) - Slievethoul (D) 
       V 2424         IO62SQ     East Coast FM,Carnew (WW) 
       V 2080         IO52QP     Wired FM,Limerick area (LK) 
100.00 V 2205  25.000 IO54TI     Today FM,Truskmore (SO) 
       V 2205   3.000 IO51US     Today FM,Crosshaven (CO) 
100.10 V 2205   1.000 IO62DI     Today FM,Clonmel (TA) 
       V        1.000 IO53LG     ,Galway/Rele (G) (c)
       V        1.000 IO65HA     ,Bridgend (DL) (c)
         2434                    Radio Nova,Balbriggan (D) 
100.20 V 2205   1.000 IO52DF     Today FM,Knockmoyle (RTE) (KY) 
100.30 V 2434   2.000 IO63VG     Radio Nova,Three Rock Mountain (D) 
       V 2205   1.000 IO62DB     Today FM,Dungarvan/Carronadavderg 2 (WD) 
100.40 M        0.100 IO52UH     ,Mitchelstown (CO) (c)
100.50   2434   0.100 IO63SG     Radio Nova,Saggart Hill (Red Gap) - Slievethoul (D) 
100.60 V 2205  32.000 IO52PX     Today FM,Maghera (CE) 
       V        1.000 IO63RW     ,Louth (LH) (c)
100.70 V 2205   3.000 IO64LE     Today FM,Monaghan/Lugad Hill (MN) 
100.80 V 2205   3.000 IO62II     Today FM,Suir Valley/Fiddown Hills (KK) 
100.90 V 2205  40.000 IO63TE     Today FM,Kippure (WW) 
101.00 V 2205  10.000 IO51RU     Today FM,Cork/Spur Hill (CO) 
       V 2205   1.000 IO65HA     Today FM,Hollywell Hill (DL) 
101.10 V 2205   3.000 IO53HW     Today FM,Castlebar/Croaghmoyle (MO) 
101.20 M 2205   1.000 IO52PR     Today FM,Woodcock Hill (RTE) (CE) 
       V 2205   0.250 IO52UD     Today FM,Fermoy/Macroney (CO) 
101.30 V 2205   1.000 IO63WD     Today FM,Greystones/Bellevue (WW) 
       M        0.250 IO53LG     Flirt FM,Galway (G) 
101.40 V 2205  40.000 IO62OO     Today FM,Mount Leinster (CW) 
       V 20A6   0.100 IO52IJ     West Limerick 102,Abbeyfeale (LK) 
101.50 M 2205   0.100 IO51SV     Today FM,Cork/Collins Barracks (CO) 
         2030                    Q102,Balbriggan (D) 
       V              IO51SV     ,Cork (CO) (c)
101.60 C 2205   2.000 IO65EF     Today FM,Fanad (DL) 
                1.000 IO63CS     Christmas FM,Longford (LD) (t)
       V 20A6   0.100 IO52KO     West Limerick 102,Foynes (LK) 
101.70 M 2205   1.500 IO43XW     Today FM,Achill Island/Minaun Heights (MO) 
101.80 C 2205  80.000 IO51KX     Today FM,Mullaghanish (CO) 
       C 2205  12.000 IO63VG     Today FM,Three Rock Mountain (D) 
102.00 V 23E0  10.000 IO62OO     Beat 102-103,Mount Leinster (CW) 
