 87.50 _ ____   0.000 ______     (c) UKW/TV-Arbeitskreis der AGDX  www.fmlist.org September 14, 2020, 10:00
 92.70 H B201  50.000 KN08QC     MR 2 PetQfi Radió,Tokaj / Nagykopasz (BAZ) 
       H        0.100             (p)
 92.80 V        0.250 JN96GH     ,Bonyhad (TOL) (c)
 92.90 V        5.000 JN97ML     ,Budapest/Gellert-hegy (BUD) (c)
       V B4A7   2.640 JN97ML     Klubradió,Budapest/Sashegy (BUD) 
       V B3AA   1.000 JN86KU     Magyar Katolikus Radió,Zalaegerszeg / Village Museum (ZAL) 
       H B02C   0.158 JN96RK     Halas Radió,Kiskunhalas / Water tower (BAK) 
       V B1CC   0.040 JN97CI     Maria Radió,Mór/Radnóti Miklós Ált. Iskola (FEJ) 
 93.00 H B203   1.100 JN97VD     MR 1 Kossuth Radió,Cegled / Gubody str. (PES) 
       V B203   0.100 JN87HG     MR 1 Kossuth Radió,Szombathely / Gabonataroló (grain silo) (VAS) 
 93.10 H B201   7.500 JN87TP     MR 2 PetQfi Radió,GyQr / Szabadhegy (GYO) 
       V B206   1.000 KN06BF     Dankó Radió,Szeged / Újszeged, Lövölde str. (CSO) 
       V B317   0.300 JN96LX     Radió 1,Dunaujvaros/Október 23. Sq, high-rise (FEJ) 
       H B206   0.100 JN97LS     Dankó Radió,Nagymaros (PES) 
       V        0.050 JN86VI     ,Kaposvar/Kaposhegy, water tower (SOM) (p)
       V              KN08ID     ,Miskolc (BAZ) (c)
 93.20 V B1CC   0.300 JN87SC     Maria Radió,Ajka / Tósokberend, Liliom str. 11/B (VES) 
 93.30 V B317   0.150 KN07RU     Radió 1,Hajdunanas / Bocskai str. (HAB) 
 93.40 V B058   1.000 JN97QE     Radio Dabas,Dabas / Water tower (PES) 
       V B09C   0.200 KN18BF     Friss FM,Kisvarda / Chimney, Piac str. 5. (SSB) 
       V B3CC   0.100 JN86OS     Maria Radió,Keszthely / Festetich str. (ZAL) 
 93.50 V        1.000 KN07UM     ,Debrecen (HAB) (c)
       V        0.002 JN97MM     ,Budapest/Óbuda-III. kerület-San Marco utca (BUD) (c)
 93.60 V        5.000 KN08LE     ,Szikszó (BAZ) (c)
       H B206   3.000 JN96BW     Dankó Radió,Siófok/Sóstó, AHZRT Site (SOM) 
       V B396   0.850 JN97VA     Gong Radió,NagykQrös / Water tower (PES) 
       V B208   0.250 JN86ML     Retro Radió,Nagykanizsa / Water tower (ZAL) 
       V        0.100 JN97PO     ,GödöllQ - Bolnoka (PES) (c)
 93.70 H B203   3.000 JN98QB     MR 1 Kossuth Radió,Balassagyarmat - Szügy (NOG) 
       V B317   0.080 KN07DO     Radió 1,Heves / Water tower (HEV) 
 93.80 V B465   0.400 JN96IA     Radió 1,Mohacs / Water tower (BAR) 
       V B447   0.200 KN07KH     Aktiv Radió,Karcag / Water Tower (JNS) 
 93.90 H B201  65.600 JN87TB     MR 2 PetQfi Radió,Kab-hegy (VES) 
 94.00 V        0.795 JN96GH     ,Bonyhad (TOL) (c)
       V B4A3   0.320 JN97UQ     Szent Istvan Radió,Hatvan / SzQlQhegy, Telekom Tower (HEV) 
 94.10 V B396   0.500 JN96MT     Gong Radió,Solt / Kecskemeti str. (BAK) 
       V B317   0.500 JN87GP     Radió 1,Sopron - Dalos-hegy (GMS) 
       V B023   0.100 JN97NS     Dunakanyar FM,Vac / Kosdi ut (PES) 
 94.20 H B488   1.000 JN97ML     Trend FM,Budapest/Gellert-hegy (BUD) 
       H        0.170 JN96DE     ,Komló / Szilvas, Water tower (BAR) (p)
       H B206   0.100 KN06HN     Dankó Radió,Oroshaza / Silo, Október 6 str. (BEK) 
       V        0.005 KN06FF     ,Makó / Water tower (CSO) (c)
 94.30 H B201  12.000 JN86MN     MR 2 PetQfi Radió,Nagykanizsa/Újudvar (ZAL) 
       H B203   6.300 KN07CE     MR 1 Kossuth Radió,Szolnok/AHZRT Site (JNS) 
       V B317   0.440 JN96LE     Radió 1,Baja / Gabonataroló (grain silo) (BAK) 
 94.40 H B377   1.000 KN07TM     Európa Radió,Debrecen / High-rise, PetQfi sq. (HAB) 
       V B012   0.063 KN06NS     Torony Radió,Bekes / Jantyik Matyas str. 23. (BEK) (c)
 94.50 V B317   0.500 JN97FE     Radió 1,Szekesfehervar/ Öreghegy, Donat str. 92. (FEJ) 
       H B0AA   0.200 JN96LM     Magyar Katolikus Radió,Kalocsa / Érsekkert, Water tower (BAK) 
       V B026   0.125 JN87MO     Rabaköz Radió,Kapuvar / Osli street (GMS) 
