       H E402   0.100 JP83OD     SR P2,Sollefteå-Hallsta/Hallstaberget TM (VN) 
       V E245   0.100 JO58WB     Star FM,Stenungsund (VG) (p)
 91.10 H E201  30.000 JO78NO     SR P1,Motala/Ervasteby TM (OG) 
       H E402   1.500 JP82XO     SR P2,Härnösand/Vårdkasberget TM (Härnön) (VN) 
       H E402   0.300 JO58OW     SR P2,Strömstad/Tornstigen TM (VG) 
       V        0.091 JO89XJ     Järva Närradio, JVNF Järva FM, Radio Studion, Radio Chakavak,Stockholm/Spånga-Degerbygränd 2 (ST) 
       V        0.091 JO89XJ     Radio Chakavak,Stockholm/Spånga-Degerbygränd 2 (ST) 
       V        0.091 JO89XJ     Radio Studion,Stockholm/Spånga-Degerbygränd 2 (ST) 
       H E402   0.030 JP61IU     SR P2,Idre/Laketjärnåsen TM (DA) 
 91.20 V E402  60.000 JO66LS     SR P2,Halmstad/Oskarström/Teracoms mast Fjällgime (HA) 
       H E402  60.000 JP85LB     SR P2,Storuman/Norrberg TM (VB) 
       V E220   2.000 JO65MJ     NRJ,Trelleborg/Lyckebovägen (SN) 
       V E241   0.150 JO99AD     RIX FM,Haninge/Tornberget (ST) (p)
       V E201   0.100 JP70SP     SR P1,Falun/Lövberget TM (DA) 
       V E224   0.100 JO77UN     SR P4,Lönneberga Silverdalen (KA) 
       H E402   0.030 JP61KC     SR P2,Rörbäcksnäs/Lima Rörbäcksnäs TM (DA) 
 91.30 H E201  60.000 KP15SW     SR P1,Kalix/Långträskryggen TM (NO) 
       V E245   2.500 JP93HH     Star FM,Örnsköldsvik/Åsberget TM (VN) 
       V        2.500 JP93HH     ,Örnsköldsvik/Åsberget TM (VN) (c)
       V E243   0.500 JO75BR     Mix Megapol,Brösarp/Brösarp station (SN) 
       V        0.400 JP71GF     Orsa Närradio - ONÄR,Orsa/Grönklitt (DA) 
       V E243   0.300 JO88GH     Mix Megapol,Ringarum/Lilla Gusum/Kungsberget (OG) 
       V E220   0.300 JO89MI     NRJ,Strängnäs/Finninge (SO) 
       V E402   0.250 JP80CC     SR P2,Avesta/Krylbo (DA) 
       V        0.250 JO89MJ     ,Strängnäs/Enhammar (SO) (c)
       V EB42   0.200 JO68SE     Mix Megapol,Falköping/Mösseberg TM (VG) 
       V E220   0.100 JO69LD     NRJ,Säffle/Treabackarna M1 TM (VR) 
       H E201   0.050 JP62PK     SR P1,Långå/Hede Långå TM (JM) 
